ngram	type2score_1	type2score_2	type2freq_1	type2freq_2	type2p_diff	type2s_diff	type2p_avg	type2s_ref_diff	type2shift_score
cancer	8.28000e-01	8.28000e-01	5.24986e+00	1.33444e+00	-1.99482e-04	0.00000e+00	4.07899e-04	3.28000e-01	-4.67131e-04
cane	2.19000e-01	2.19000e-01	6.05098e+00	3.92157e-01	-4.94545e-04	0.00000e+00	3.37832e-04	-2.81000e-01	9.92142e-04
cannibal	7.40000e-01	7.40000e-01	1.16124e+00	2.65152e-01	-5.10564e-05	0.00000e+00	8.67586e-05	2.40000e-01	-8.74830e-05
carcinoma	7.03000e-01	7.03000e-01	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	2.03000e-01	0.00000e+00
caricature	1.41000e-01	1.41000e-01	4.97334e-01	0.00000e+00	-4.80901e-05	0.00000e+00	2.40450e-05	-3.59000e-01	1.23257e-04
carnage	7.17000e-01	7.17000e-01	7.43231e-01	1.33333e+00	2.36034e-04	0.00000e+00	1.89884e-04	2.17000e-01	3.65675e-04
cartridge	2.81000e-01	2.81000e-01	1.02378e+00	4.33333e-01	1.07240e-06	0.00000e+00	9.95317e-05	-2.19000e-01	-1.67672e-06
case	9.40000e-02	9.40000e-02	1.34595e+02	3.20003e+01	-5.62502e-03	0.00000e+00	1.02022e-02	-4.06000e-01	1.63047e-02
cash	6.20000e-02	6.20000e-02	8.03238e+00	6.73846e-01	-6.21088e-04	0.00000e+00	4.66153e-04	-4.38000e-01	1.94218e-03
casualty	7.19000e-01	7.19000e-01	1.99832e+00	3.00000e+00	4.99549e-04	0.00000e+00	4.43003e-04	2.19000e-01	7.81059e-04
cataract	2.50000e-01	2.50000e-01	1.01855e-01	0.00000e+00	-9.84897e-06	0.00000e+00	4.92449e-06	-2.50000e-01	1.75789e-05
catastrophe	9.53000e-01	9.53000e-01	3.98699e-01	1.07143e+00	2.08868e-04	0.00000e+00	1.42987e-04	4.53000e-01	6.75510e-04
cautious	2.81000e-01	2.81000e-01	6.85986e+00	5.70076e-01	-5.31673e-04	0.00000e+00	3.97482e-04	-2.19000e-01	8.31287e-04
