post_id	insight	agency
A0EBB6	1.55172e-02	2.75862e-02
A0EBE5	4.68750e-02	3.64583e-02
A0EC22	1.69492e-02	1.69492e-02
A0EC23	1.18110e-02	3.93701e-02
A0EC26	4.41176e-02	3.57143e-02
A0EC3D	1.19760e-02	4.19162e-02
A0EC6C	2.83912e-02	1.89274e-02
A0EC75	2.56410e-02	1.28205e-02
A0ECDE	3.58423e-03	2.50896e-02
A0ED98	3.18182e-02	1.81818e-02
A0EDBD	3.06122e-02	5.10204e-03
A0EE25	2.20264e-02	8.81057e-03
A0EE3A	1.72414e-02	3.44828e-02
A0EF28	3.53357e-03	1.41343e-02
A0F04F	2.54777e-02	2.54777e-02
A0F07E	1.30293e-02	2.60586e-02
A0F103	3.36700e-03	2.02020e-02
A0F14E	2.15517e-02	3.01724e-02
A0F18F	0.00000e+00	3.00000e-02
A0F1B7	9.21659e-03	2.76498e-02
A0F33D	3.27869e-02	1.63934e-02
A0F3FA	3.44037e-02	4.81651e-02
A0F419	6.61765e-02	6.61765e-02
A0F4AF	1.16959e-02	4.67836e-02
A0F505	2.35294e-02	2.11765e-02
A0F51C	1.60772e-02	2.25080e-02
A0F5A0	1.93548e-02	3.87097e-02
A0F5F9	1.84900e-02	2.00308e-02
A0F6CE	2.82051e-02	2.82051e-02
A0F739	3.66300e-02	1.09890e-02
A0F76C	2.43902e-02	1.21951e-02
A0F803	3.44828e-02	1.06101e-02
A0F819	4.16667e-02	2.97619e-02
A0F8A6	1.14943e-02	2.29885e-02
A0F93A	2.04082e-02	2.04082e-02
A0F951	3.96601e-02	4.81586e-02
A0F981	1.52672e-02	7.63359e-03
A0F9DB	1.00287e-02	3.00860e-02
A0FA74	1.82927e-02	3.04878e-02
A0FB1B	1.12360e-02	2.24719e-02
A0FC6E	1.53257e-02	2.87356e-02
A0FC80	1.10701e-02	5.16605e-02
A0FCA6	2.28571e-02	2.00000e-02
A0FCBC	0.00000e+00	6.36943e-02
A0FCF0	1.06383e-02	1.06383e-02
A0FD41	4.10410e-02	3.50350e-02
A0FD58	3.00000e-02	4.00000e-02
A0FDA6	6.99301e-03	2.44755e-02
A0FE31	1.81159e-02	1.08696e-02
A0FEDA	3.57143e-02	1.19048e-02
A0FFF5	2.59259e-02	2.83951e-02
A10034	4.34028e-02	2.77778e-02
A10059	3.58744e-02	3.25112e-02
A1006D	2.87278e-02	1.23119e-02
A100D5	3.17460e-02	4.76190e-02
A10207	2.37530e-03	2.37530e-02
A10223	3.68590e-02	2.08333e-02
A102A3	1.36054e-02	3.06122e-02
A102F6	3.39943e-02	3.68272e-02
A102FC	8.47458e-03	5.93220e-02
A1032B	2.48963e-02	3.52697e-02
A10358	2.31660e-02	1.73745e-02
