ngram	type2score_1	type2score_2	type2freq_1	type2freq_2	type2p_diff	type2s_diff	type2p_avg	type2s_ref_diff	type2shift_score
bombers	7.970000e-01	7.970000e-01	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	2.970000e-01	0.000000e+00
bombing	9.380000e-01	9.380000e-01	2.248808e+00	4.000000e+00	4.265438e-04	0.000000e+00	3.477944e-04	4.380000e-01	1.442054e-03
breakingnews	2.500000e-01	2.500000e-01	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	-2.500000e-01	0.000000e+00
brutal	8.280000e-01	8.280000e-01	5.186944e+00	1.111111e+00	-1.544284e-04	0.000000e+00	2.330660e-04	3.280000e-01	-3.909714e-04
brutality	9.220000e-01	9.220000e-01	1.247017e+00	2.500000e-01	-3.952921e-05	0.000000e+00	5.483125e-05	4.220000e-01	-1.287581e-04
buck	2.340000e-01	2.340000e-01	8.214003e+00	7.142857e-02	-4.813382e-04	0.000000e+00	2.506881e-04	-2.660000e-01	9.882704e-04
bug	1.880000e-01	1.880000e-01	6.143091e+01	1.970664e+01	-9.105811e-04	0.000000e+00	3.219473e-03	-3.120000e-01	2.192891e-03
burial	7.030000e-01	7.030000e-01	1.601317e+00	1.333333e+00	9.123218e-05	0.000000e+00	1.414060e-04	2.030000e-01	1.429512e-04
buzz	2.340000e-01	2.340000e-01	2.925065e+01	4.535700e+00	-1.113551e-03	0.000000e+00	1.192982e-03	-2.660000e-01	2.286312e-03
campaigning	1.250000e-01	1.250000e-01	4.878049e-03	4.166667e-02	5.552638e-06	0.000000e+00	3.068121e-06	-3.750000e-01	-1.607217e-05
cancer	8.280000e-01	8.280000e-01	1.049074e+01	1.305873e+00	-4.443800e-04	0.000000e+00	4.053604e-04	3.280000e-01	-1.125051e-03
cane	2.190000e-01	2.190000e-01	7.314160e+00	5.098039e-01	-3.660206e-04	0.000000e+00	2.545188e-04	-2.810000e-01	7.938816e-04
cannibal	7.400000e-01	7.400000e-01	1.821775e+00	2.174242e+00	1.959960e-04	0.000000e+00	2.069756e-04	2.400000e-01	3.630799e-04
carcinoma	7.030000e-01	7.030000e-01	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	2.030000e-01	0.000000e+00
caricature	1.410000e-01	1.410000e-01	4.973341e-01	0.000000e+00	-2.975026e-05	0.000000e+00	1.487513e-05	-3.590000e-01	8.243830e-05
carnage	7.170000e-01	7.170000e-01	7.488209e-01	1.333333e+00	1.422280e-04	0.000000e+00	1.159081e-04	2.170000e-01	2.382258e-04
cartridge	2.810000e-01	2.810000e-01	1.141964e+00	9.333333e-01	6.260381e-05	0.000000e+00	9.961356e-05	-2.190000e-01	-1.058251e-04
case	9.400000e-02	9.400000e-02	1.557695e+02	3.675019e+01	-4.163225e-03	0.000000e+00	7.236436e-03	-4.060000e-01	1.304667e-02
cash	6.200000e-02	6.200000e-02	1.732974e+01	3.676899e+00	-5.209095e-04	0.000000e+00	7.762007e-04	-4.380000e-01	1.761085e-03
casualty	7.190000e-01	7.190000e-01	2.020966e+00	3.166667e+00	3.232844e-04	0.000000e+00	2.825353e-04	2.190000e-01	5.464780e-04
cataract	2.500000e-01	2.500000e-01	7.685220e-01	0.000000e+00	-4.597257e-05	0.000000e+00	2.298628e-05	-2.500000e-01	8.871205e-05
catastrophe	9.530000e-01	9.530000e-01	1.041116e+00	3.142857e+00	3.785588e-04	0.000000e+00	2.515584e-04	4.530000e-01	1.323657e-03
cautious	2.810000e-01	2.810000e-01	7.005991e+00	1.535354e+00	-2.037358e-04	0.000000e+00	3.172267e-04	-2.190000e-01	3.443938e-04
cautiously	1.880000e-01	1.880000e-01	5.760702e+00	2.000000e-01	-3.165488e-04	0.000000e+00	1.863277e-04	-3.120000e-01	7.623231e-04
ceasefire	1.560000e-01	1.560000e-01	2.777778e-02	1.428571e-01	1.837643e-05	0.000000e+00	1.084987e-05	-3.440000e-01	-4.879367e-05
censor	1.490000e-01	1.490000e-01	5.558203e+00	5.000000e-01	-2.623554e-04	0.000000e+00	2.013110e-04	-3.510000e-01	7.107894e-04
chaff	1.720000e-01	1.720000e-01	6.439643e-02	0.000000e+00	-3.852159e-06	0.000000e+00	1.926080e-06	-3.280000e-01	9.752635e-06
challenge	2.810000e-01	2.810000e-01	5.578292e+01	5.568157e+00	-2.555878e-03	0.000000e+00	2.058965e-03	-2.190000e-01	4.320441e-03
change	1.980000e-01	1.980000e-01	8.850559e+02	2.223457e+02	-2.175589e-02	0.000000e+00	4.206561e-02	-3.020000e-01	5.071398e-02
chaos	8.390000e-01	8.390000e-01	1.886246e+01	6.508532e+00	-2.154125e-04	0.000000e+00	1.020636e-03	3.390000e-01	-5.636564e-04
checkpoint	1.720000e-01	1.720000e-01	7.709006e+00	1.361111e+00	-2.702301e-04	0.000000e+00	3.260335e-04	-3.280000e-01	6.841503e-04
chicken	2.340000e-01	2.340000e-01	4.018401e+01	4.907388e+00	-1.715443e-03	0.000000e+00	1.546064e-03	-2.660000e-01	3.522101e-03
cholera	7.500000e-01	7.500000e-01	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	2.500000e-01	0.000000e+00
civilian	6.200000e-02	6.200000e-02	1.054475e+01	2.000000e-01	-6.027278e-04	0.000000e+00	3.294172e-04	-4.380000e-01	2.037695e-03
civilians	6.200000e-02	6.200000e-02	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	-4.380000e-01	0.000000e+00
claustrophobia	8.030000e-01	8.030000e-01	3.652593e-01	1.500000e+00	1.885502e-04	0.000000e+00	1.161247e-04	3.030000e-01	4.409746e-04
claustrophobic	7.650000e-01	7.650000e-01	5.826830e+00	1.071429e+00	-1.982722e-04	0.000000e+00	2.494217e-04	2.650000e-01	-4.055567e-04
cloak	2.660000e-01	2.660000e-01	1.237716e+01	6.377366e+00	1.541364e-04	0.000000e+00	8.174631e-04	-2.340000e-01	-2.783973e-04
cloudiness	6.200000e-02	6.200000e-02	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	-4.380000e-01	0.000000e+00
clown	1.250000e-01	1.250000e-01	7.871571e+00	1.607444e+01	1.783833e-03	0.000000e+00	1.362790e-03	-3.750000e-01	-5.163324e-03
clowns	2.070000e-01	2.070000e-01	2.702703e-03	0.000000e+00	-1.616742e-07	0.000000e+00	8.083710e-08	-2.930000e-01	3.656388e-07
cobra	7.030000e-01	7.030000e-01	1.488004e+00	1.040000e+00	5.686563e-05	0.000000e+00	1.174444e-04	2.030000e-01	8.910247e-05
collapse	7.030000e-01	7.030000e-01	6.589293e+01	2.752358e+01	-8.104113e-05	0.000000e+00	3.901159e-03	2.030000e-01	-1.269829e-04
combat	7.280000e-01	7.280000e-01	1.756698e+01	3.753247e+00	-5.243919e-04	0.000000e+00	7.886510e-04	2.280000e-01	-9.228576e-04
compassion	7.800000e-02	7.800000e-02	4.143236e+00	1.578200e+00	-2.647734e-05	0.000000e+00	2.346074e-04	-4.220000e-01	8.624435e-05
competition	1.720000e-01	1.720000e-01	4.236815e+01	1.230508e+01	-8.084484e-04	0.000000e+00	2.130216e-03	-3.280000e-01	2.046774e-03
composure	1.720000e-01	1.720000e-01	8.028777e-01	1.428571e-01	-2.798963e-05	0.000000e+00	3.403290e-05	-3.280000e-01	7.086223e-05
confession	2.660000e-01	2.660000e-01	3.556961e-01	0.000000e+00	-2.127755e-05	0.000000e+00	1.063877e-05	-2.340000e-01	3.843097e-05
confessional	2.250000e-01	2.250000e-01	9.585077e-02	0.000000e+00	-5.733741e-06	0.000000e+00	2.866870e-06	-2.750000e-01	1.217067e-05
confidence	1.090000e-01	1.090000e-01	2.145031e+01	3.726190e+00	-7.604861e-04	0.000000e+00	9.029030e-04	-3.910000e-01	2.295154e-03
confident	9.400000e-02	9.400000e-02	3.562148e+01	1.022998e+01	-6.959338e-04	0.000000e+00	1.782891e-03	-4.060000e-01	2.180910e-03
confusion	2.810000e-01	2.810000e-01	2.894775e+01	6.936213e+00	-7.587200e-04	0.000000e+00	1.352279e-03	-2.190000e-01	1.282536e-03
contagious	7.200000e-01	7.200000e-01	8.637342e-01	1.000000e+00	8.859846e-05	0.000000e+00	9.596734e-05	2.200000e-01	1.504502e-04
cop	2.730000e-01	2.730000e-01	1.022895e+02	3.498308e+01	-1.211943e-03	0.000000e+00	5.512929e-03	-2.270000e-01	2.123499e-03
counsellor	9.400000e-02	9.400000e-02	2.139373e+00	1.428571e-01	-1.079381e-04	0.000000e+00	7.400711e-05	-4.060000e-01	3.382552e-04
countdown	1.560000e-01	1.560000e-01	1.540447e+00	0.000000e+00	-9.214873e-05	0.000000e+00	4.607436e-05	-3.440000e-01	2.446762e-04
courageous	1.540000e-01	1.540000e-01	2.597859e-01	0.000000e+00	-1.554025e-05	0.000000e+00	7.770125e-06	-3.460000e-01	4.150285e-05
court	2.840000e-01	2.840000e-01	5.183663e+01	9.215311e+00	-1.808239e-03	0.000000e+00	2.196719e-03	-2.160000e-01	3.014764e-03
cove	1.410000e-01	1.410000e-01	2.599530e+00	5.000000e-01	-8.536921e-05	0.000000e+00	1.128179e-04	-3.590000e-01	2.365590e-04
coy	1.620000e-01	1.620000e-01	1.174170e+00	0.000000e+00	-7.023818e-05	0.000000e+00	3.511909e-05	-3.380000e-01	1.832457e-04
crash	7.340000e-01	7.340000e-01	1.404074e+02	3.985429e+01	-2.808870e-03	0.000000e+00	6.994659e-03	2.340000e-01	-5.073309e-03
